"idhod","hodnota","stapro_kod","DRUHZVIRE_cis","DRUHZVIRE_kod","refobdobi","rok","uzemi_cis","uzemi_kod","STAPRO_TXT","uzemi_txt","DRUHZVIRE_txt"
"763475295","43343","5560","132","30","20170401","2017","100","3140","Počet hospodářských zvířat","Moravskoslezský kraj","Prasata"
"763476754","338195","5560","132","81","20170401","2017","100","3140","Počet hospodářských zvířat","Moravskoslezský kraj","Slepice"
"763476759","34548","5560","132","70","20170401","2017","97","19","Počet hospodářských zvířat","Česká republika","Koně"
"763476762","23454","5560","132","50","20170401","2017","100","3131","Počet hospodářských zvířat","Zlínský kraj","Ovce"
"763477425","18372","5560","132","33","20170401","2017","100","3107","Počet hospodářských zvířat","Kraj Vysočina","Prasnice chovné"
"763477428","1398","5560","132","70","20170401","2017","100","3051","Počet hospodářských zvířat","Karlovarský kraj","Koně"
"763477127","1890","5560","132","70","20170401","2017","100","3131","Počet hospodářských zvířat","Zlínský kraj","Koně"
"763474774","1429","5560","132","70","20170401","2017","100","3115","Počet hospodářských zvířat","Jihomoravský kraj","Koně"
"763474775","1506","5560","132","60","20170401","2017","100","3093","Počet hospodářských zvířat","Pardubický kraj","Kozy"
"763474782","8802","5560","132","50","20170401","2017","100","3115","Počet hospodářských zvířat","Jihomoravský kraj","Ovce"
"763474803","2542","5560","132","70","20170401","2017","100","3093","Počet hospodářských zvířat","Pardubický kraj","Koně"
"763475313","82","5560","132","33","20170401","2017","100","3051","Počet hospodářských zvířat","Karlovarský kraj","Prasnice chovné"
"763475314","3929","5560","132","33","20170401","2017","100","3131","Počet hospodářských zvířat","Zlínský kraj","Prasnice chovné"
"763475321","45611","5560","132","1","20170401","2017","100","3051","Počet hospodářských zvířat","Karlovarský kraj","Skot"
"763475322","84629","5560","132","81","20170401","2017","100","3069","Počet hospodářských zvířat","Ústecký kraj","Slepice"
"763475927","2818","5560","132","81","20170401","2017","100","3077","Počet hospodářských zvířat","Liberecký kraj","Slepice"
"763477447","14401","5560","132","50","20170401","2017","100","3107","Počet hospodářských zvířat","Kraj Vysočina","Ovce"
"763477448","217141","5560","132","50","20170401","2017","97","19","Počet hospodářských zvířat","Česká republika","Ovce"
"763474841","126733","5560","132","81","20170401","2017","100","3131","Počet hospodářských zvířat","Zlínský kraj","Slepice"
"763474851","2786","5560","132","60","20170401","2017","100","3107","Počet hospodářských zvířat","Kraj Vysočina","Kozy"
"763478042","12933","5560","132","50","20170401","2017","100","3051","Počet hospodářských zvířat","Karlovarský kraj","Ovce"
"763476788","82566","5560","132","30","20170401","2017","100","3123","Počet hospodářských zvířat","Olomoucký kraj","Prasata"
"763476795","83069","5560","132","1","20170401","2017","100","3140","Počet hospodářských zvířat","Moravskoslezský kraj","Skot"
"763474919","3583","5560","132","60","20170401","2017","100","3077","Počet hospodářských zvířat","Liberecký kraj","Kozy"
